ROWID,Country,State lgd code,State,YearCode,Year,Type of area,Gender,Highest level of education completed,Percentage distribution of persons,Number of estimated persons ,Number of sample persons,Number of estimated persons excluding,Number of estimated persons including,Number of sample persons excluding,Number of sample persons including
36,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,Secondary & Above,31.3,35040.41663439657696735840,5561.62932623880461803260,,,,
37,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,Diploma/Certificate Course,0.7,37894.59081201965679068220,6000.80828640082067035350,,,,
38,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,Graduate,7.7,37894.59081201965679068220,6000.80828640082067035350,,,,
39,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,Higher Secondary,13.3,37894.59081201965679068220,6000.80828640082067035350,,,,
40,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,Literate & Upto Primary,10.1,37894.59081201965679068220,6000.80828640082067035350,,,,
41,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,Middle,28.4,37894.59081201965679068220,6000.80828640082067035350,,,,
42,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,Not Literate,15.2,37894.59081201965679068220,6000.80828640082067035350,,,,
43,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,Post Graduate & Above,4,37894.59081201965679068220,6000.80828640082067035350,,,,
44,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,Secondary,20.6,37894.59081201965679068220,6000.80828640082067035350,,,,
45,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Male,Secondary & Above,46.3,37894.59081201965679068220,6000.80828640082067035350,,,,
46,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Diploma/Certificate Course,0.5,72935.00744641623375804060,11562.43761263962528838610,,,,
47,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Graduate,6.4,72935.00744641623375804060,11562.43761263962528838610,,,,
48,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Higher Secondary,11.6,72935.00744641623375804060,11562.43761263962528838610,,,,
49,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Literate & Upto Primary,10.4,72935.00744641623375804060,11562.43761263962528838610,,,,
50,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Middle,25.5,72935.00744641623375804060,11562.43761263962528838610,,,,
51,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Not Literate,25,72935.00744641623375804060,11562.43761263962528838610,,,,
52,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Post Graduate & Above,3.5,72935.00744641623375804060,11562.43761263962528838610,,,,
53,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Secondary,17,72935.00744641623375804060,11562.43761263962528838610,,,,
54,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Secondary & Above,39.1,72935.00744641623375804060,11562.43761263962528838610,,,,
55,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Diploma/Certificate Course,0.5,7981.51517800011355665600,2433.57962780199540796080,,,,
56,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Graduate,11.7,7981.51517800011355665600,2433.57962780199540796080,,,,
57,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Higher Secondary,13,7981.51517800011355665600,2433.57962780199540796080,,,,
58,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Literate & Upto Primary,7.5,7981.51517800011355665600,2433.57962780199540796080,,,,
59,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Middle,19.8,7981.51517800011355665600,2433.57962780199540796080,,,,
60,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Not Literate,24.3,7981.51517800011355665600,2433.57962780199540796080,,,,
61,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Post Graduate & Above,8.2,7981.51517800011355665600,2433.57962780199540796080,,,,
62,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Secondary,14.9,7981.51517800011355665600,2433.57962780199540796080,,,,
63,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Secondary & Above,48.4,7981.51517800011355665600,2433.57962780199540796080,,,,
64,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Diploma/Certificate Course,1.4,8217.24375127193063596410,2512.80790346596712341290,,,,
65,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Graduate,13.5,8217.24375127193063596410,2512.80790346596712341290,,,,
66,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Higher Secondary,14.4,8217.24375127193063596410,2512.80790346596712341290,,,,
67,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Literate & Upto Primary,8.3,8217.24375127193063596410,2512.80790346596712341290,,,,
68,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Middle,24,8217.24375127193063596410,2512.80790346596712341290,,,,
69,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Not Literate,12.1,8217.24375127193063596410,2512.80790346596712341290,,,,
70,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Post Graduate & Above,6.8,8217.24375127193063596410,2512.80790346596712341290,,,,
71,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Secondary,19.5,8217.24375127193063596410,2512.80790346596712341290,,,,
72,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Secondary & Above,55.7,8217.24375127193063596410,2512.80790346596712341290,,,,
73,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Diploma/Certificate Course,1,16198.75892927204419262010,4946.38753126796253137370,,,,
74,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Graduate,12.6,16198.75892927204419262010,4946.38753126796253137370,,,,
75,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Higher Secondary,13.7,16198.75892927204419262010,4946.38753126796253137370,,,,
76,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Literate & Upto Primary,7.9,16198.75892927204419262010,4946.38753126796253137370,,,,
77,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Middle,21.9,16198.75892927204419262010,4946.38753126796253137370,,,,
78,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Not Literate,18.1,16198.75892927204419262010,4946.38753126796253137370,,,,
79,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Post Graduate & Above,7.5,16198.75892927204419262010,4946.38753126796253137370,,,,
80,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Secondary,17.2,16198.75892927204419262010,4946.38753126796253137370,,,,
81,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Secondary & Above,52.1,16198.75892927204419262010,4946.38753126796253137370,,,,
82,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Diploma/Certificate Course,0.2,,,28692.37331267834939594940,28692.37331267834939594940,3219.01549642136932781310,3219.01549642136932781310
83,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Graduate,4.2,,,28692.37331267834939594940,28692.37331267834939594940,3219.01549642136932781310,3219.01549642136932781310
84,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Higher Secondary,9.4,,,28692.37331267834939594940,28692.37331267834939594940,3219.01549642136932781310,3219.01549642136932781310
85,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Literate & Upto Primary,11.6,,,28692.37331267834939594940,28692.37331267834939594940,3219.01549642136932781310,3219.01549642136932781310
86,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Middle,22.9,,,28692.37331267834939594940,28692.37331267834939594940,3219.01549642136932781310,3219.01549642136932781310
87,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Not Literate,36.8,,,28692.37331267834939594940,28692.37331267834939594940,3219.01549642136932781310,3219.01549642136932781310
88,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Post Graduate & Above,3.1,,,28692.37331267834939594940,28692.37331267834939594940,3219.01549642136932781310,3219.01549642136932781310
89,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Secondary,11.8,,,28692.37331267834939594940,28692.37331267834939594940,3219.01549642136932781310,3219.01549642136932781310
90,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Secondary & Above,28.7,,,28692.37331267834939594940,28692.37331267834939594940,3219.01549642136932781310,3219.01549642136932781310
91,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Diploma/Certificate Course,1,,,30079.35720022787893312320,30079.35720022787893312320,3357.90951054833208823530,3357.90951054833208823530
92,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Graduate,6.8,,,30079.35720022787893312320,30079.35720022787893312320,3357.90951054833208823530,3357.90951054833208823530
93,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Higher Secondary,11.9,,,30079.35720022787893312320,30079.35720022787893312320,3357.90951054833208823530,3357.90951054833208823530
94,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Literate & Upto Primary,11.1,,,30079.35720022787893312320,30079.35720022787893312320,3357.90951054833208823530,3357.90951054833208823530
95,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Middle,31.2,,,30079.35720022787893312320,30079.35720022787893312320,3357.90951054833208823530,3357.90951054833208823530
96,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Not Literate,14.7,,,30079.35720022787893312320,30079.35720022787893312320,3357.90951054833208823530,3357.90951054833208823530
97,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Post Graduate & Above,5.1,,,30079.35720022787893312320,30079.35720022787893312320,3357.90951054833208823530,3357.90951054833208823530
98,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Secondary,18.1,,,30079.35720022787893312320,30079.35720022787893312320,3357.90951054833208823530,3357.90951054833208823530
99,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Secondary & Above,42.9,,,30079.35720022787893312320,30079.35720022787893312320,3357.90951054833208823530,3357.90951054833208823530
100,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Diploma/Certificate Course,0.6,,,58771.73051290622832907260,58771.73051290622832907260,6576.92500696970141604840,6576.92500696970141604840
101,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Graduate,5.6,,,58771.73051290622832907260,58771.73051290622832907260,6576.92500696970141604840,6576.92500696970141604840
102,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Higher Secondary,10.7,,,58771.73051290622832907260,58771.73051290622832907260,6576.92500696970141604840,6576.92500696970141604840
103,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Literate & Upto Primary,11.4,,,58771.73051290622832907260,58771.73051290622832907260,6576.92500696970141604840,6576.92500696970141604840
104,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Middle,27.2,,,58771.73051290622832907260,58771.73051290622832907260,6576.92500696970141604840,6576.92500696970141604840
105,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Not Literate,25.5,,,58771.73051290622832907260,58771.73051290622832907260,6576.92500696970141604840,6576.92500696970141604840
106,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Post Graduate & Above,4.1,,,58771.73051290622832907260,58771.73051290622832907260,6576.92500696970141604840,6576.92500696970141604840
107,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Secondary,15,,,58771.73051290622832907260,58771.73051290622832907260,6576.92500696970141604840,6576.92500696970141604840
108,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Secondary & Above,36,,,58771.73051290622832907260,58771.73051290622832907260,6576.92500696970141604840,6576.92500696970141604840
109,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Diploma/Certificate Course,0.3,,,36751.16051262233660100930,36751.16051262233660100930,5585.10437087998142261100,5585.10437087998142261100
110,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Graduate,5.7,,,36751.16051262233660100930,36751.16051262233660100930,5585.10437087998142261100,5585.10437087998142261100
111,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Higher Secondary,10.3,,,36751.16051262233660100930,36751.16051262233660100930,5585.10437087998142261100,5585.10437087998142261100
112,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Literate & Upto Primary,10.6,,,36751.16051262233660100930,36751.16051262233660100930,5585.10437087998142261100,5585.10437087998142261100
185,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Middle,25.6,,,66651,66651,6606,6606
113,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Middle,22.2,,,36751.16051262233660100930,36751.16051262233660100930,5585.10437087998142261100,5585.10437087998142261100
114,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Not Literate,34.1,,,36751.16051262233660100930,36751.16051262233660100930,5585.10437087998142261100,5585.10437087998142261100
115,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Post Graduate & Above,4.4,,,36751.16051262233660100930,36751.16051262233660100930,5585.10437087998142261100,5585.10437087998142261100
116,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Secondary,12.3,,,36751.16051262233660100930,36751.16051262233660100930,5585.10437087998142261100,5585.10437087998142261100
117,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Secondary & Above,33.1,,,36751.16051262233660100930,36751.16051262233660100930,5585.10437087998142261100,5585.10437087998142261100
118,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Diploma/Certificate Course,1.1,,,38688.82982237947201225140,38688.82982237947201225140,5845.28611565302434002160,5845.28611565302434002160
119,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Graduate,8.9,,,38688.82982237947201225140,38688.82982237947201225140,5845.28611565302434002160,5845.28611565302434002160
120,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Higher Secondary,13.2,,,38688.82982237947201225140,38688.82982237947201225140,5845.28611565302434002160,5845.28611565302434002160
121,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Literate & Upto Primary,10.6,,,38688.82982237947201225140,38688.82982237947201225140,5845.28611565302434002160,5845.28611565302434002160
122,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Middle,29.1,,,38688.82982237947201225140,38688.82982237947201225140,5845.28611565302434002160,5845.28611565302434002160
123,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Not Literate,13.6,,,38688.82982237947201225140,38688.82982237947201225140,5845.28611565302434002160,5845.28611565302434002160
124,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Post Graduate & Above,5.5,,,38688.82982237947201225140,38688.82982237947201225140,5845.28611565302434002160,5845.28611565302434002160
125,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Secondary,18,,,38688.82982237947201225140,38688.82982237947201225140,5845.28611565302434002160,5845.28611565302434002160
126,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Secondary & Above,46.7,,,38688.82982237947201225140,38688.82982237947201225140,5845.28611565302434002160,5845.28611565302434002160
127,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Diploma/Certificate Course,0.7,,,75439.99033500180861326070,75439.99033500180861326070,11430.39048653300576263260,11430.39048653300576263260
128,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Graduate,7.4,,,75439.99033500180861326070,75439.99033500180861326070,11430.39048653300576263260,11430.39048653300576263260
129,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Higher Secondary,11.8,,,75439.99033500180861326070,75439.99033500180861326070,11430.39048653300576263260,11430.39048653300576263260
130,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Literate & Upto Primary,10.6,,,75439.99033500180861326070,75439.99033500180861326070,11430.39048653300576263260,11430.39048653300576263260
131,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Middle,25.7,,,75439.99033500180861326070,75439.99033500180861326070,11430.39048653300576263260,11430.39048653300576263260
132,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Not Literate,23.6,,,75439.99033500180861326070,75439.99033500180861326070,11430.39048653300576263260,11430.39048653300576263260
133,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Post Graduate & Above,5,,,75439.99033500180861326070,75439.99033500180861326070,11430.39048653300576263260,11430.39048653300576263260
134,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Secondary,15.2,,,75439.99033500180861326070,75439.99033500180861326070,11430.39048653300576263260,11430.39048653300576263260
135,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Secondary & Above,40.1,,,75439.99033500180861326070,75439.99033500180861326070,11430.39048653300576263260,11430.39048653300576263260
136,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Diploma/Certificate Course,0.5,,,8058.78719994398720505990,8058.78719994398720505990,2366.08887445861209479790,2366.08887445861209479790
137,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Graduate,11.2,,,8058.78719994398720505990,8058.78719994398720505990,2366.08887445861209479790,2366.08887445861209479790
138,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Higher Secondary,13.6,,,8058.78719994398720505990,8058.78719994398720505990,2366.08887445861209479790,2366.08887445861209479790
139,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Literate & Upto Primary,6.9,,,8058.78719994398720505990,8058.78719994398720505990,2366.08887445861209479790,2366.08887445861209479790
140,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Middle,19.8,,,8058.78719994398720505990,8058.78719994398720505990,2366.08887445861209479790,2366.08887445861209479790
141,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Not Literate,24.8,,,8058.78719994398720505990,8058.78719994398720505990,2366.08887445861209479790,2366.08887445861209479790
142,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Post Graduate & Above,9.2,,,8058.78719994398720505990,8058.78719994398720505990,2366.08887445861209479790,2366.08887445861209479790
